Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",1,Mother Sparsh 99% Pure Water (Unscented) Baby Wipes I Natural Plant Made Cloth - Super Thick I 72 pcs/Pack - Pack of 3,"""https://images-eu.ssl-images-amazon.com/images/I/51vQEfdSUaL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"6,095",Rs 693.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",2,Mother Sparsh 99% Pure Water (Unscented) baby wipes I Natural Plant made cloth - Super thick I 72 pcs/pack - Pack of 2 (Super Saver Pack),"""https://images-eu.ssl-images-amazon.com/images/I/51D1dqFPOnL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,528",Rs 449.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",3,"Mother Sparsh Plant Powered Natural Baby Liquid Cleanser with Basil and Green Apple Extract | for Baby Bottles, Nipples, Accessories and Toys Cleaning - 500ml","""https://images-eu.ssl-images-amazon.com/images/I/61G1bfmwUyL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"1,045",Rs 300.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",4,"Mother Sparsh 98% Water Based Scented Wipes Plant derived Fabric I mild Scented, 80 Pcs/Pack, Pack of 3","""https://images-eu.ssl-images-amazon.com/images/I/51f0jNrrHDL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"4,986",Rs 379.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",5,Mother Sparsh Plant Powered Baby Laundry Liquid Detergent With Bio - Enzymes and Eucalyptus Oil | Without Dyes and Optical Brighteners -1 Litre,"""https://images-eu.ssl-images-amazon.com/images/I/31QJ5qkdC1L._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"1,655",Rs 453.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",6,"Mother Sparsh Tummy Roll On For Baby, Colic Relief, Constipation and Indigestion With Hing and Saunf | 100% Ayurvedic - 40ml","""https://images-eu.ssl-images-amazon.com/images/I/61-yQ9tGSOL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"3,547",Rs 211.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",7,"BabyPro Lab Tested - Certified (Set of 5) Baby Proofing Combo of 2 Metres Pre-Taped Edge Guard and 4 Corner Protectors, Thin and Sleek Design, for Sharp Edges of Bed, Table and Furniture (Brown)","""https://images-eu.ssl-images-amazon.com/images/I/61V-xikUAbL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"1,320",Rs 279.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",8,"Mother Sparsh After Bite Turmeric Balm for Rashes and Mosquito Bites, 100% Ayurvedic, Gentle Skin Roll-on Formula, 25gm","""https://images-eu.ssl-images-amazon.com/images/I/51c6yYagRHL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"3,339",Rs 282.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",9,TIDY SLEEP Waterproof Plastic Mattress Protection Sheet for Baby and Adult - Double Bed/King Size - 7.2 x 4.5 feet (220cm x 140cm) - Navy Blue,"""https://images-eu.ssl-images-amazon.com/images/I/71L0E3YxMbL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"1,324",Rs 854.05
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",10,"Bodyguard Baby Wet Wipes - (3 Packs, 72 Wipes per Pack)","""https://images-eu.ssl-images-amazon.com/images/I/915AWtLYx1L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"2,908",Rs 217.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",11,"Chalk and Chuckles Art and Craft Keychain Dolls - Make Yourself Activity Kit for Ages 8+ Unique DIY Set, Gifts for Girls 9, 10, 11, 12 Years Old","""https://images-eu.ssl-images-amazon.com/images/I/81PZ67oLKKL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,822,Rs 608.13
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",12,"Mother Sparsh Natural Insect Repellent Spray For Babies | With Camphor, Citronella and Lemongrass Oil | 100% Protection from Mosquitoes, Fleas and Ants- 100ml","""https://images-eu.ssl-images-amazon.com/images/I/41Cx0T4-W4L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"1,393",Rs 164.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",13,"BeeBaby Apple Fruit Shape Soft Silicone Teether for 3-6 Months with Carrying Case, BPA Free Teething Toy for Babies with Textured Surface for Soothing Gums. 100% Food Grade (Apple - Red)","""https://images-eu.ssl-images-amazon.com/images/I/61iKqT2Ki2L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"1,426",Rs 219.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",14,"WONDRBOX Animal and Birds Jigsaw Puzzle for Kids of Age 3-5 Years, Set of 4 (Multicolour, Size 10X8 inches)","""https://images-eu.ssl-images-amazon.com/images/I/81iTDq5xuZL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"2,241",Rs 356.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",15,Sirona Disposable Maternity and Nursing Breast Pads - 36 Units (White),"""https://images-eu.ssl-images-amazon.com/images/I/61Sk7RkEeAL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,869,Rs 265.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",16,"BeeBaby Orthodontic Silicone Baby Pacifier/Soother with Protective Cap (Blue, Pack of 2)","""https://images-eu.ssl-images-amazon.com/images/I/61aqjca02xL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,339,Rs 239.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",17,"BabyPro Lab Tested - Certified (Set of 12) Electric Socket Covers 5 Amp. and 15 Amp, Child Safety Shutters, Protectors for Babies (White)","""https://images-eu.ssl-images-amazon.com/images/I/51xSG+qeJBL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,741,Rs 179.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",18,"Avishkaar ABot, 5 in1 DIY STEM Metal Robotics Kit, 50+ Parts, Robot Kit, Science Kit for Kids 8+ Years, Gifts for Boys Age 8 - 10, Gift for 8 Year+ old Boy, Toys for 8+ Years Boys, Toys for Boys, Science Kit, Science Experiment Kit, Science Project Kit","""https://images-eu.ssl-images-amazon.com/images/I/81mBJsit6AL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,745,"Rs 2,999.00"
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",19,"Bodyguard Baby Diaper Disposable Bags - 75 Bags - OXO Biodegradable, Leak-Proof Bags for Discreet Disposal of Diapers and Intimate Sanitary Products, 75 Piece Pack","""https://images-eu.ssl-images-amazon.com/images/I/81a0cFTePWS._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,216,Rs 299.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",20,"Under The Sheets Card Game by MyMuse - for Couples and Lovers, Perfect for Date Nights, Romance and Naughty Gifts - 150 Cards with 5 Exciting Categories","""https://images-eu.ssl-images-amazon.com/images/I/61L+zgl+p7L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,25,Rs 999.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",21,Shumee Wooden Spinning Tops -Set of 3 Lattu (3 Years+) - Curiosity and Fine Motor Skills,"""https://images-eu.ssl-images-amazon.com/images/I/51sXoigWbuL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"1,196",Rs 356.00
1,Amazon Launchpad,"""https://www.amazon.in/gp/bestsellers/boost""",7,Toys and Baby,"""https://www.amazon.in/gp/bestsellers/boost/14091152031""",22,"These Cards Will Get You Drunk - Fun Adult Drinking Game for Parties, Multicolor","""https://images-eu.ssl-images-amazon.com/images/I/61OJxs1k5WL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"31,273",Rs 259.00
