Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",1,"(Renewed) Lenovo ThinkCentre M92p Desktop (Core i5-2400/8 GB/500 GB HDD/Windows/MS Office/Intel HD Graphics 2000), Black","""https://images-eu.ssl-images-amazon.com/images/I/41lWTNCKJqL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,"1,023","Rs 8,983.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",2,(Renewed) Sony WI-XB400 Wireless In Ear Headphone with Mic (Black),"""https://images-eu.ssl-images-amazon.com/images/I/71JaIPh39SL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"2,147","Rs 1,958.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",3,(Renewed) JBL C200SI Wired In Ear Headphone with Mic (Gun Metal),"""https://images-eu.ssl-images-amazon.com/images/I/61BEBOFwNFL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,673,Rs 628.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",4,"(Renewed) Lenovo ThinkCentre M71E Desktop (Core I3 3.3 Ghz, 8 GB RAM/ 500 GB HDD/ Win 10 Pro, MS Office/ Intel H61 Express/ USB, Ethernet,VGA,Display Port,Audio, Black","""https://images-eu.ssl-images-amazon.com/images/I/71-NEeyKugL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,89,Rs 628.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",5,(Renewed) JBL Endurance Run Wireless Bluetooth In Ear Headphone with Mic (Red),"""https://images-eu.ssl-images-amazon.com/images/I/719s58cJSJL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,687,"Rs 8,457.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",6,"(Renewed) Lenovo Intel 6th Gen Core i5 6300HQ 14-Inch (35.56 cms) 1920x1080 Laptop (8 GB/256 GB SSD/Windows 10/MS Office /Intel HD/Black/1.90 Kg), Thinkpad L460","""https://images-eu.ssl-images-amazon.com/images/I/51N-fTKPYpL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,334,"Rs 8,457.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",7,(Renewed) Sennheiser CX 80s Wired In Ear Earphone with Mic (Black),"""https://images-eu.ssl-images-amazon.com/images/I/61v+taI5jvL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,379,"Rs 8,457.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",8,(Renewed) Jbl C50Hi Wired In Ear Earphones With Microphone Black,"""https://images-eu.ssl-images-amazon.com/images/I/61LeOZ1wQ7L._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,965,"Rs 1,163.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",9,(Renewed) Logitech MK240 Wireless Keyboard and Mouse Combo (WhiteandVivid Red),"""https://images-eu.ssl-images-amazon.com/images/I/51d4n4gUAiL._AC_UL900_SR900600_.jpg",3.2 out of 5 stars,40,"Rs 18,906.03"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",10,(Renewed) Gunter and Hanke Shadow X5 In-Ear Bluetooth Wireless Earphone with Mic with Silicon Body Heavy Bass and Magnetic on-Off Function,"""https://images-eu.ssl-images-amazon.com/images/I/71McWxbxenL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,"1,069","Rs 18,906.03"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",11,(Renewed) Sennheiser HD 4.40 Wireless Bluetooth Over the Ear Headphone with Mic (Black),"""https://images-eu.ssl-images-amazon.com/images/I/71rJ05yvLbL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,166,"Rs 1,043.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",12,(Renewed) Jbl C200Si Wired In Ear Earphones With Microphone Gray,"""https://images-eu.ssl-images-amazon.com/images/I/61ctVR9FWAL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,139,"Rs 1,043.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",13,(Renewed) Logitech B170 Wireless Mouse (Black),"""https://images-eu.ssl-images-amazon.com/images/I/61bKM6CSSFL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,978,Rs 599.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",14,(Renewed) Lenovo GX30M39704 300 USB Mouse,"""https://images-eu.ssl-images-amazon.com/images/I/41S+8-bUlHL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,42,"Rs 1,196.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",15,(Renewed) Honor Band 3 Activity Tracker (Black),"""https://images-eu.ssl-images-amazon.com/images/I/31t8e1lz6xL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,2,Rs 890.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",16,(Renewed) Zebronics Zeb-Bang Bluetooth Headphone with Voice Assistant (Red),"""https://images-eu.ssl-images-amazon.com/images/I/616zfAHAGHL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,170,"Rs 4,299.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",17,(Renewed) Infinity (Jbl) Zip 100 Deep Bass Wired In Ear Earphones With Mic (Charcoal Black),"""https://images-eu.ssl-images-amazon.com/images/I/61N72mKkD+L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,176,Rs 479.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",18,(Renewed) JBL LIVE200BT Wireless In Ear Neckband Headphone with Mic (Blue),"""https://images-eu.ssl-images-amazon.com/images/I/510V-ms6E8L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,547,Rs 539.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",19,(Renewed) HP M100 Wired Gaming Optical Mouse (Black),"""https://images-eu.ssl-images-amazon.com/images/I/51iI3aVf-6L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,133,Rs 202.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",20,"(Renewed) Dell Latitude E7240 12-inch Laptop (Core I5 4th Gen/8GB/256 GB SSD/Windows 10/MS Office Pro 2019/Integrated Graphics), Black","""https://images-eu.ssl-images-amazon.com/images/I/81ExQAh7v4L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,208,"Rs 1,899.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",21,"(Renewed) Dell Optiplex 17 inch (43.18 cm) All in One Desktop Set ( Intel i5 3470, 8GB, 500GB HDD, 17 inches HD Monitor, Keyboard, Mouse, Wifi, Display Port),Windows 10 Pro, MS Office","""https://images-eu.ssl-images-amazon.com/images/I/41W1rohKt1L._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,233,Rs 479.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",22,(Renewed) Sennheiser CX 300s Wired In Ear Headphone with Mic (Black),"""https://images-eu.ssl-images-amazon.com/images/I/61YfBVNWeuL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,145,Rs 479.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",23,(Renewed) Sony WH-1000XM3 Wireless Industry Leading Noise Cancellation Headphones with Touch Sensor (Black),"""https://images-eu.ssl-images-amazon.com/images/I/61XWaaBGQaL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,775,Rs 479.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",24,"(Renewed) Dell Latitude E7270 12.5 Inches Laptop (Intel Core I5 6Th Gen/8Gb/256 Gb Ssd/Windows 10/Ms Office Pro 2019/Integrated Graphics), Black","""https://images-eu.ssl-images-amazon.com/images/I/61uxOS8mhfL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,380,Rs 360.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",25,(Renewed) Boat Super Bass Rockerz 400 Bluetooth On-Ear Headphones with Mic (Black/Blue),"""https://images-eu.ssl-images-amazon.com/images/I/615ZTDel6QL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,61,Rs 360.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",26,(Renewed) Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,"""https://images-eu.ssl-images-amazon.com/images/I/61e9td4-rjL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,532",Rs 360.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",27,(Renewed) JBL Tune 110BT Pure Bass Wireless in-Ear Headphones with Mic (Black),"""https://images-eu.ssl-images-amazon.com/images/I/61pubaqAOrL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,84,"Rs 3,199.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",28,"(Renewed) BenQ 23.8 inch (60.4 cm) Edge to Edge LED Monitor - Full HD, IPS Panel with VGA, Display, HDMI, Audio in, Heaphone Ports and in-Built Speakers - GW2480 (Black)","""https://images-eu.ssl-images-amazon.com/images/I/51ltiVmiqaL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,56,Rs 279.00
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",29,(Renewed) Logitech M221 Silent Wireless Mouse- Red,"""https://images-eu.ssl-images-amazon.com/images/I/6155ZIq52ZL._AC_UL900_SR900600_.jpg",3.0 out of 5 stars,33,"Rs 19,985.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",30,,"""https://images-eu.ssl-images-amazon.com/images/I/51SaR9NXgEL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,41,"Rs 19,389.00"
2,Amazon Renewed,"""https://www.amazon.in/gp/bestsellers/amazon-renewed""",47,Work from essentials from Unboxed and Refurbished,"""https://www.amazon.in/gp/bestsellers/amazon-renewed/21588341031""",31,,"""https://images-eu.ssl-images-amazon.com/images/I/715UN3Q6PbL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,61,"Rs 2,499.00"
