Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",1,"Good knight Mosquito Net for Double Bed, King-Size, Strong 30GSM net, High Durability, Foldable, Corrosion Resistant, Lightweight - Red","""https://images-eu.ssl-images-amazon.com/images/I/71YpfXdJzUS._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"10,084","Rs 1,065.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",2,"LuvLap Starshine Baby Stroller / Pram for 0 to 3 Years, New Born / Toddler / Kid, Lightweight, Adjustable backrest, 360° Swivel Wheel, Large storage basket, Reversible Handlebar (Black)","""https://images-eu.ssl-images-amazon.com/images/I/81hHQ0mHe+L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"6,109","Rs 3,699.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",3,"LuvLap Sunshine Baby Stroller / Pram for 0 to 3 Years, New Born / Toddler / Kid, 5 Point Safety Harness, Adjustable backrest, 360° Swivel Wheel, Large storage basket, Reversible Handlebar (Green)","""https://images-eu.ssl-images-amazon.com/images/I/81Lb3QkwL6L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"8,292","Rs 4,693.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",4,"R for Rabbit Picaboo Baby Carry Cot, 4 in 1 Multi Purpose Kids Carry Cot, Infant Car Seat, Rocker for Infant Babies of 0 to 15 Months and Weight Capacity Upto 13 Kgs (Black Grey)","""https://images-eu.ssl-images-amazon.com/images/I/61qNwj92M0L._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,538,"Rs 3,977.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",5,"Good knight Mosquito Net for Single Bed, Strong 30GSM net, High Durability, Foldable, Corrosion Resistant, Lightweight - Red","""https://images-eu.ssl-images-amazon.com/images/I/616nGpr7kPL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"1,450",Rs 879.00
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",6,StarAndDaisy Sunrise Baby Stroller and Pram with Extended Mosquito Net and Ultra Soft Cushions and Reversible Handlebar Stroller for Baby|Kids|Infants|New Born|Boys|Girls (Pi),"""https://images-eu.ssl-images-amazon.com/images/I/51U5Kzt601L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,81,"Rs 3,649.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",7,"R for Rabbit Lollipop Lite Stroller and Pram with Easy Fold for Newborn Baby, Stylish, 3 Position Recline, Reversible Handle, 5 Point Safety Harness, Kids of 0 to 3 Years (Rainbow Multi Color)","""https://images-eu.ssl-images-amazon.com/images/I/61uLPYD4RNL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"1,873","Rs 4,599.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",8,LuvLap Tutti Frutti Baby Buggy -Printed Black,"""https://images-eu.ssl-images-amazon.com/images/I/61wC7Xvil9L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"1,923","Rs 2,499.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",9,"LuvLap Sunshine Baby Stroller / Pram for 0 to 3 Years, New Born / Toddler / Kid, 5 Point Safety Harness, Adjustable backrest, 360° Swivel Wheel, Large storage basket, Reversible Handlebar (Orange)","""https://images-eu.ssl-images-amazon.com/images/I/616XLjyxZUL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"3,655","Rs 4,199.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",10,"Little Pumpkin Kiddie Kingdom Baby Stroller, 3 Position Recline, Pram for Kids and Infants, Adjustable Backrest, 360° Swivel Wheel, Large Storage Basket, Reversible Handlebar, Newborn Baby Stylist Stroller for Boy and Girl of age 0 to 3 Years (Blue Black)","""https://images-eu.ssl-images-amazon.com/images/I/712WgzkiDYL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"1,097","Rs 3,699.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",11,"R for Rabbit Premium Chocolate Ride Stylish Baby Stroller and Pram for Baby, Kids, Infants, Newborn, Boys and Girls of 0 to 3 Years (Rainbow)","""https://images-eu.ssl-images-amazon.com/images/I/61ZYP1hZLfS._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,769,"Rs 8,799.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",12,"JoyRide 12 in 1 Premium Musical Baby Feeding Swing Rocker Carry Cot Cum Bouncer with Mosquito Net, Storage Box and Swinging Ropes (Brown Beige)","""https://images-eu.ssl-images-amazon.com/images/I/71ADboqYWdL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,68,"Rs 1,999.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",13,"LuvLap Galaxy Baby Stroller, Pram for Baby with 5 Point Safety Harness, Spacious Cushioned seat with Multi Level seat Recline, Easy Fold, Lightweight Baby Stroller for 0 to 3 Years (Green and Black)","""https://images-eu.ssl-images-amazon.com/images/I/6177QzsQxZL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"1,852","Rs 6,499.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",14,"Goyal's 12 in 1 Musical Baby Feeding Swing Rocker Carry Cot Cum Bouncer with Mosquito Net, Storage Box and Swinging Ropes (Brown) (12 in 1)","""https://images-eu.ssl-images-amazon.com/images/I/61l61aTb1dL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,805","Rs 2,199.00"
4,Baby Products,"""https://www.amazon.in/gp/bestsellers/baby""",14,Strollers and Prams,"""https://www.amazon.in/gp/bestsellers/baby/1953480031""",15,R For Rabbit Cutie Pie Baby Stroller and Pram | Reversible Handle and Travel Friendly Baby Stroller and Pram for Baby/Kids/Infants/Newborn | Pram and Stroller for Age 0 to 3 Years ( Black Grey),"""https://images-eu.ssl-images-amazon.com/images/I/616dzCeXsHL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,154,"Rs 5,399.00"
