Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",1,"Twenty-One Nights in Paris: Escape to Paris with a BRAND NEW feel-good, festive romance from Leonie Mack for 2022","""https://images-eu.ssl-images-amazon.com/images/I/8194WXpXhdL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,232,Rs 109.74
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",2,Murder in Tuscany: The start of a BRAND NEW cozy mystery series from bestseller T A Williams for 2022 (An Armstrong and Oscar Cozy Mystery Book 1),"""https://images-eu.ssl-images-amazon.com/images/I/91cNz5ieP+L._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,506,Rs 85.80
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",3,"Masala Lab: The Science of Indian Cooking: The Science of Indian Cooking - the bestseller on food, the definitive book for every Indian kitchen, illustrated","""https://images-eu.ssl-images-amazon.com/images/I/81BGNqBFZmL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"1,962",Rs 277.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",4,World Map - Laminated Both Sides,"""https://images-eu.ssl-images-amazon.com/images/I/A1uNoB2NrwL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"9,802",Rs 129.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",5,Normal People: One million copies sold,"""https://images-eu.ssl-images-amazon.com/images/I/718W0JbHm1L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"48,112",Rs 323.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",6,I Wish I Could Tell Her (Order now to get a signed copy),"""https://images-eu.ssl-images-amazon.com/images/I/71rbw7ofP1L._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,324,Rs 140.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",7,India Map (Laminated Both Sides ) - With New Union Territories of Jammu and Kashmir and Ladakh,"""https://images-eu.ssl-images-amazon.com/images/I/A1q0dkpR8gL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"5,769",Rs 129.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",8,Zen: The Art of Simple Living,"""https://images-eu.ssl-images-amazon.com/images/I/615pKl5mWNL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"2,432",Rs 379.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",9,The Little Book of Hygge: The Danish Way to Live Well,"""https://images-eu.ssl-images-amazon.com/images/I/81TaKyoERsL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"5,134",Rs 388.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",10,Where the Sun Never Sets (Signed by the author),"""https://images-eu.ssl-images-amazon.com/images/I/61oofri2nsL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,182,Rs 162.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",11,A Girl to Remember,"""https://images-eu.ssl-images-amazon.com/images/I/81NMtdz1TBL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"3,250",Rs 126.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",12,The Atlas of Beauty: Women of the World in 500 Portraits,"""https://images-eu.ssl-images-amazon.com/images/I/91hWyjeQt0L._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,"1,751","Rs 1,099.00"
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",13,Journey Continues: A Sequel To Apprenticed To A Himalayan Master,"""https://images-eu.ssl-images-amazon.com/images/I/71TbscUWcEL._AC_UL900_SR900600_.jpg",4.8 out of 5 stars,"1,185",Rs 280.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",14,"Someone Else\'s Honeymoon: A laugh-out-loud, feel-good romantic comedy for 2022","""https://images-eu.ssl-images-amazon.com/images/I/71dRzLtJ-AL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"1,553",Rs 50.68
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",15,"Bahut Door, Kitna Door Hota Hai । बहुत दूर, कितना दूर होता है (Hindi Edition)","""https://images-eu.ssl-images-amazon.com/images/I/81W5up59WgL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,662,Rs 147.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",16,THE BOOK OF ICHIGO ICHIE,"""https://images-eu.ssl-images-amazon.com/images/I/5117CSuaANL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"1,425",Rs 324.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",17,Zen and the Art of Motorcycle Maintenance: 40th Anniversary Edition,"""https://images-eu.ssl-images-amazon.com/images/I/81pf1O2iCaL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"6,582",Rs 389.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",18,WABI SABI: JAPANESE WISDOM FOR A PERFECTLY IMPERFECT LIFE,"""https://images-eu.ssl-images-amazon.com/images/I/31f-19RgIVL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"2,123",Rs 452.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",19,Everybody Loves a Good Drought: Stories from India’s Poorest Districts (20th Anniversary Edition),"""https://images-eu.ssl-images-amazon.com/images/I/6198HBrONjL._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,610,Rs 361.34
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",20,Robinson Crusoe,"""https://images-eu.ssl-images-amazon.com/images/I/81cp-sm9FzS._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"3,735",Rs 99.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",21,Jitni Mitti Utna Sona । जितनी मिट्टी उतना सोना,"""https://images-eu.ssl-images-amazon.com/images/I/81W+xb+NSRL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,3,Rs 175.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",22,In The Footsteps Of Rama: Travels with the Ramayana,"""https://images-eu.ssl-images-amazon.com/images/I/81nkVw5WfyL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,251,Rs 389.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",23,LONG WALK TO FREEDOM,"""https://images-eu.ssl-images-amazon.com/images/I/8191IDl+IQL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,650",Rs 446.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",24,Birds of India - A Pictorial Field Guide,"""https://images-eu.ssl-images-amazon.com/images/I/91pf7Em6IiL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,815,"Rs 1,271.00"
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",25,Banaras City of Light,"""https://images-eu.ssl-images-amazon.com/images/I/81QOWa1dM3L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,234,Rs 358.00
7,Books,"""https://www.amazon.in/gp/bestsellers/books""",34,Travel,"""https://www.amazon.in/gp/bestsellers/books/1318295031""",26,"BORN TO RUN: THE HIDDEN TRIBE, THE ULTRA-RUNNERS, AND THE GREATEST RACE THE WORLD HAS NEVER SEEN","""https://images-eu.ssl-images-amazon.com/images/I/81l271UiWaL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"11,030",Rs 374.00
