Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",1,"Portronics Auto 18 Car Bluetooth Transmitter/Receiver with Display, Handsfree Calling, Aux in/Out, HD Sound Quality, for Car, TV, PC, Speaker (Black)","""https://images-eu.ssl-images-amazon.com/images/I/514mQl5B1HL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,232,"Rs 1,149.00"
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",2,FASTPED® Pair Cycling Lock-on Anti-Slip Bicycle Handlebar Handle Grips for MTB BMX (RED),"""https://images-eu.ssl-images-amazon.com/images/I/517RJIhm-vL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,024",Rs 249.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",3,"2 in 1 Car Tire Stone Cleaning Hook, Auto Remover Tire Groove Stones Removing Tool for Motor Bike Truck Tyre, Car Tire Protector Repair Tools with Solid Rubber Handle","""https://images-eu.ssl-images-amazon.com/images/I/41lcNk8+CDL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,30,Rs 258.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",4,NIKAVI 3’ x 4’ Heavy Duty Bungee Cargo Net Grid Mesh Roof Rack Net with 12 PCS ABS Hooks for Pickup Truck Bed and SUV Roof Travel Luggage Rack,"""https://images-eu.ssl-images-amazon.com/images/I/71z4u0WJeDL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,30,Rs 999.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",5,AllExtreme Rooftop Cargo Bag 15 Cubic Feet Foldable Water-resistant Travel Luggage Carrier for All Vehicles (Black),"""https://images-eu.ssl-images-amazon.com/images/I/710HgWWLuTL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,10,Rs 791.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",6,"SEECO ASE-1861F Front Fork seal For Yamaha FZ/FZS Bikes Pack of 2, Size - (41x53x8/10)","""https://images-eu.ssl-images-amazon.com/images/I/61oxRVdSq-L._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,34,"Rs 3,199.00"
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",7,5 Sets 2 Pin 2.8mm Wire Harness Motorcycle Sensor Connector Automotive Cable Socket,"""https://images-eu.ssl-images-amazon.com/images/I/41rXCqIxvdL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,8,Rs 196.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",8,Dhe Best RL-01 Car Roof Rack Side Rails Bars Silver Stylish Drill Free Roof Rails Silver Set of 2 for Maruti Baleno,"""https://images-eu.ssl-images-amazon.com/images/I/41pZdGNrByL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,7,Rs 236.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",9,Generic Tools Technician Bs6 Bike Cable all OBD universal cable with Fast Connectivity work with all bs6 bikes Multicolors Cable OBD free,"""https://images-eu.ssl-images-amazon.com/images/I/21U64wb4J+L._AC_UL900_SR900600_.jpg",2.9 out of 5 stars,7,"Rs 1,840.00"
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",10,"Drauss® Plastic Cycling Bottle and Bottle Holder for Bicycle, Elastic Water Cup Rack Cage Drink Bottles Bracket Bike Accessories Bicycle Water Bottle Cage ABS Material Holder Bracket Plastic Quick Release Bicycle Water Bottle Holder Rack Cage","""https://images-eu.ssl-images-amazon.com/images/I/61VdPXGLC4L._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,44,"Rs 2,998.00"
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",11,Allure Auto® (Red - Type 8) Car Modification Racing Tow Strap Traction Rope Trailer Hook HF Fit for Front or Rear Front Bumper Decorative Trailer Belt Compatible with Skoda Kushaq,"""https://images-eu.ssl-images-amazon.com/images/I/51WcJKo7dtL._AC_UL900_SR900600_.jpg",2.9 out of 5 stars,11,Rs 279.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",12,"DELUX AUTOMOTIVE® Universal Tire Stem Covers Metal Cap Compatible for Cars, SUVs, Bike and Bicycle, Trucks, Motorcycles Heavy-Duty Valve Cap – Silver, Design 1, Pack of 12","""https://images-eu.ssl-images-amazon.com/images/I/71vCHh0xZ6L._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,2,Rs 299.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",13,"Automaze Car Waterproof Rooftop Cargo Bag, 3 Layer Bag with Anti-Skid Mat, Waterproof Zippers, 15 Cubic Feet for All Cars with/Without Roof Rails","""https://images-eu.ssl-images-amazon.com/images/I/214K+8pvUFL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,Rs 199.00
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",14,Cazar Super Foam Cannon/Lance with Bosch Adaptor/Extension Rod Suitable for All Bosch car washers,"""https://images-eu.ssl-images-amazon.com/images/I/51TqQAiBdNL._AC_UL900_SR900600_.jpg",1.0 out of 5 stars,1,"Rs 5,500.00"
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",15,Rotar Assembly magnet (Mahindra Centuro Mahindra Brand original quality (only magnet),"""https://images-eu.ssl-images-amazon.com/images/I/71O9HaHqsgL._AC_UL900_SR900600_.jpg",1.0 out of 5 stars,1,"Rs 2,899.00"
8,Car and Motorbike,"""https://www.amazon.in/gp/bestsellers/automotive""",12,Transporting and Storage,"""https://www.amazon.in/gp/bestsellers/automotive/5257484031""",16,BikerZ Rear Mounted Car Bike Rack : Model TrunkZ,"""https://images-eu.ssl-images-amazon.com/images/I/41wQRM0-pbL._AC_UL900_SR900600_.jpg",1.0 out of 5 stars,1,"Rs 1,150.00"
