Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",1,Alexvyan Slim Fit Warm Women Thick Fur Lined Fleece Legging Warm Winter Thermal Soft Leggings for Women Girls Ladies,"""https://images-eu.ssl-images-amazon.com/images/I/41kY+dxDpzL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"1,482",Rs 698.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",2,Jockey Women Cotton Hipster Brief(Pack of 3),"""https://images-eu.ssl-images-amazon.com/images/I/71apV5osQzL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"31,371",Rs 369.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",3,Alan Jones Clothing Women's Cotton Hooded Neck Sweatshirt,"""https://images-eu.ssl-images-amazon.com/images/I/61t965dJIiL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"11,144",Rs 649.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",4,FLEXIMAA Women's Cotton Hooded Hoodies,"""https://images-eu.ssl-images-amazon.com/images/I/813gV9tGXeL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"12,023",Rs 674.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",5,Amazon Brand - Symbol Women T-Shirt,"""https://images-eu.ssl-images-amazon.com/images/I/716eGaBhx5L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"29,186",Rs 341.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",6,"Mehrang Lycra Saree Shapewear Petticoat for Women, Cotton Blended,Petticoat,Skirts for Women,Shape Wear Dress for Saree","""https://images-eu.ssl-images-amazon.com/images/I/61kEVKPdeJL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"2,748",Rs 449.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",7,Jockey Women's Bikini,"""https://images-eu.ssl-images-amazon.com/images/I/61PiFceNJLL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"2,288",Rs 449.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",8,Jockey Women's Cotton Thermal 3/4th Sleeve Top,"""https://images-eu.ssl-images-amazon.com/images/I/71Jp1MJmpAL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"25,090",Rs 384.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",9,FUNDAY FASHION Full Sleeve Blue Solid Women's Denim Jacket,"""https://images-eu.ssl-images-amazon.com/images/I/618+NroIFkL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"3,864",Rs 629.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",10,Frackson Women Warm Thick Fur Lined Fleece Winter Thermal Soft Legging Tights Stocking - Slim Fit (Fleece,"""https://images-eu.ssl-images-amazon.com/images/I/81iiPvmfJvL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,"5,635",Rs 299.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",11,Lymio Women's Hoodies || Sweatshirt for Women || Unisex Hoodie (L-H-1-8),"""https://images-eu.ssl-images-amazon.com/images/I/41kY+dxDpzL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,661,Rs 698.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",12,"dclub Nipple Covers Reusable Comfortable and Natural Invisible Adhesive Silicone Pasties for Women, Round (Skin)","""https://images-eu.ssl-images-amazon.com/images/I/61AR9lDEMlL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,74,Rs 449.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",13,INFISPACE® Women and Girl's Full Length High Waisted Pantyhose Stockings (Pack of 2),"""https://images-eu.ssl-images-amazon.com/images/I/51M087p7ktL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"2,189",Rs 191.00
9,Clothing and Accessories,"""https://www.amazon.in/gp/bestsellers/apparel""",6,Women,"""https://www.amazon.in/gp/bestsellers/apparel/1953602031""",14,Van Heusen Women Antibacterial Cotton Hipster Panty - Pack of 3,"""https://images-eu.ssl-images-amazon.com/images/I/61Lc6kEbfzL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,"1,309",Rs 220.00
