Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",1,"Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi|","""https://images-eu.ssl-images-amazon.com/images/I/61Eb9vtdSML._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"2,755","Rs 25,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",2,"Apple 2021 10.2-inch (25.91 cm) iPad with A13 Bionic chip (Wi-Fi, 64GB) - Space Grey (9th Generation)","""https://images-eu.ssl-images-amazon.com/images/I/61NGnpjoRDL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,872","Rs 29,990.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",3,"Samsung Galaxy Tab A8 26.69cm (10.5 inch) Display, RAM 4 GB, ROM 64 GB Expandable, Wi-Fi Tablet, Gray, (SM-X200NZAEINU)","""https://images-eu.ssl-images-amazon.com/images/I/51DgLLc+LFL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,872","Rs 16,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",4,"Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 256GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi|","""https://images-eu.ssl-images-amazon.com/images/I/91veRYPjpeL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"2,598","Rs 17,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",5,"Samsung Galaxy Tab S6 Lite 26.31 cm (10.4 inch), S-Pen in Box, Slim and Light, Dolby Atmos Sound, 4 GB RAM, 64 GB ROM, Wi-Fi Tablet, Gray","""https://images-eu.ssl-images-amazon.com/images/I/61Eb9vtdSML._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"2,755","Rs 28,998.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",6,"Apple 2021 10.2-inch (25.91 cm) iPad with A13 Bionic chip (Wi-Fi, 64GB) - Silver (9th Generation)","""https://images-eu.ssl-images-amazon.com/images/I/61rq3n8ZrUL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"11,030","Rs 24,899.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",7,"Lenovo Tab M10 FHD Plus (3rd Gen) (10.61 inch (26.94 cm), 6 GB, 128 GB, Wi-Fi+LTE, Calling), Storm Grey with Qualcomm Snapdragon Processor, 7700 mAH Battery and Quad Speakers with Dolby Atmos","""https://images-eu.ssl-images-amazon.com/images/I/61PnHlc0HCL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,872","Rs 29,990.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",8,"Samsung Galaxy Tab A8 10.5 inches Display, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi Tablets, Gray, (SM-X200NZAAINU)","""https://images-eu.ssl-images-amazon.com/images/I/51rrWvzviVL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,98,"Rs 20,599.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",9,"Apple 2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Space Gray (5th Generation)","""https://images-eu.ssl-images-amazon.com/images/I/91veRYPjpeL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"2,598","Rs 14,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",10,"Samsung Galaxy Tab A7 Lite 22.05 cm (8.7 inch), Slim Metal Body, Dolby Atmos Sound, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi-only Tablet, Gray","""https://images-eu.ssl-images-amazon.com/images/I/61XZQXFQeVL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,738,"Rs 52,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",11,"Apple 2022 iPad Air M1 Chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Blue (5th Generation)","""https://images-eu.ssl-images-amazon.com/images/I/91SpB-8UCuS._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"3,506","Rs 11,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",12,"Samsung Galaxy Tab A7 Lite 8.7 inches, Slim Metal Body, Dolby Atmos Sound, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi+4G Tablets, Gray","""https://images-eu.ssl-images-amazon.com/images/I/71VbHaAqbML._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,738,"Rs 54,900.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",13,"Lenovo Tab M10 FHD 3rd Gen (10.1 inch (25.65 cm), 4 GB, 64 GB, Wi-Fi+LTE, Voice Calling), Storm Grey","""https://images-eu.ssl-images-amazon.com/images/I/91SpB-8UCuS._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"1,180","Rs 13,190.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",14,"Lenovo Tab P11 Plus Tablet (11 inch (27.94 cm), 6 GB, 128 GB, Wi-Fi+LTE, Voice Calling), Slate Grey with 2K Display, Quad Speakers with Dolby Atmos, 7700 mAH Battery and TUV Certified Eye Protection","""https://images-eu.ssl-images-amazon.com/images/I/51ZlTi5UKgL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,133,"Rs 17,999.00"
10,Computers and Accessories,"""https://www.amazon.in/gp/bestsellers/computers""",14,Tablets,"""https://www.amazon.in/gp/bestsellers/computers/1375458031""",15,"Lenovo Tab M7 3rd Gen (7 inch(17.7cm), 2 GB, 32 GB, Wi-fi Only), Iron Grey","""https://images-eu.ssl-images-amazon.com/images/I/71NDmj3KuEL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,133,Rs 199.00
