Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",1,"All-new Kindle Paperwhite (16 GB) – Now with a 6.8"" display and adjustable warm light","""https://images-eu.ssl-images-amazon.com/images/I/51u3LQ9tkhL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"2,231","Rs 14,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",2,"All-new Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage (Black)","""https://images-eu.ssl-images-amazon.com/images/I/71AAQp0xwYL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,12,"Rs 9,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",3,"All-new Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage (Denim)","""https://images-eu.ssl-images-amazon.com/images/I/81fek8iWKxL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,12,"Rs 9,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",4,"All-new Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light","""https://images-eu.ssl-images-amazon.com/images/I/51u3LQ9tkhL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"2,231","Rs 13,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",5,"Introducing Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light","""https://images-eu.ssl-images-amazon.com/images/I/515Z2glAStL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,404,"Rs 17,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",6,"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 8 GB, WiFi (Graphite)","""https://images-eu.ssl-images-amazon.com/images/I/61xtpHL4xyL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"9,718","Rs 17,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",7,"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi + Free 4G (Graphite)","""https://images-eu.ssl-images-amazon.com/images/I/61eFrltbxOL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"1,143","Rs 21,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",8,"Kindle Oasis (10th Gen) - Now with adjustable warm light, 7"" Display, 32 GB, WiFi (Champagne Gold)","""https://images-eu.ssl-images-amazon.com/images/I/61eFrltbxOL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"1,143","Rs 28,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",9,"ProElite Smart Transformer Style Flip case Cover for Amazon Kindle Paperwhite 6.8"" 11th Generation 2021, Grey (Fits Signature Edition Also)","""https://images-eu.ssl-images-amazon.com/images/I/61Rp5IncFqL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"1,143","Rs 24,999.00"
11,Electronics,"""https://www.amazon.in/gp/bestsellers/electronics""",15,eBook Readers and Accessories,"""https://www.amazon.in/gp/bestsellers/electronics/1389494031""",10,"ProElite Smart Transformer Style Flip case Cover for Amazon Kindle Paperwhite 6.8"" 11th Generation 2021, Black (Fits Signature Edition Also)","""https://images-eu.ssl-images-amazon.com/images/I/51JGqOXlhqL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,80,Rs 999.00
