Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",1,"XERGY Solar Fairy String Light Outdoor, 39 Ft 120 LED with 800 mAh Inbuilt Rechargeable Batter IP65 Waterproof 8 Modes Copper Wire for Garden Yard Diwali Fairy String for home Decoration led Lights Outdoor","""https://images-eu.ssl-images-amazon.com/images/I/71x-PFZOpQL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,119",Rs 599.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",2,"BIGSAVINGS Light-Solar Powered Cordless Outdoor LED Motion Sensor Path and Security Light - Pack of 4,Plastic","""https://images-eu.ssl-images-amazon.com/images/I/71wZ78zpCCL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,581,Rs 678.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",3,"Epyz Solar Sakura Flower String Lights, 19.5ft 30 LED Blossom Flower String Light Solar Power for Outdoor Garden,Lawn,Patio,Christmas Tree,Party Decorations [ Warm Yellow Light, Pack of 1 ]","""https://images-eu.ssl-images-amazon.com/images/I/71B9bPpCwzL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,976,Rs 854.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",4,"Nubilous LED Bright Outdoor Solar Lights with Motion Sensor Solar Powered Wireless Waterproof Night Spotlight for Outdoor/Garden Wall, Solar Lights for Home (100 Led, 1)","""https://images-eu.ssl-images-amazon.com/images/I/51xQlxBON8L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,532,Rs 399.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",5,"Eyvyn LED Bright Outdoor Security Lights with Motion Sensor Solar Powered Wireless Waterproof Night Spotlight for Outdoor/Garden Wall, Solar Lights for Home Pop Figure (100 Led 2)","""https://images-eu.ssl-images-amazon.com/images/I/51pa6TNnKYL._AC_UL900_SR900600_.jpg",4.8 out of 5 stars,"1,208",Rs 699.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",6,"Homehop 30W All in One Solar LED Street Lights Outdoor Waterproof Wall Lamp for Home Garden with Remote, Automatic ON/Off, 4AH LifePo4 Battery","""https://images-eu.ssl-images-amazon.com/images/I/61nuZ9uknKL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,25,"Rs 1,899.00"
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",7,Homehop Solar Light Outdoor Waterproof Flickering Mashaal Flame Torch Garden Pathway Lawn Lamp,"""https://images-eu.ssl-images-amazon.com/images/I/71Z0rRW1V4L._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,31,Rs 749.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",8,"amiciSmart Solar Charge Controller 30A, Intelligent Battery Regulator for Solar Panel LCD Display with USB Port 12V/24V (30A)","""https://images-eu.ssl-images-amazon.com/images/I/61tforYh-RL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"5,505",Rs 899.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",9,"Zeecell Solar Lights Outdoor, 100 LED Solar Security Light with Motion Sensor Solar Waterproof Wall Light Solar Powered Light with 3 Modes (ABS,1 Pack)","""https://images-eu.ssl-images-amazon.com/images/I/41GdNim6ZBS._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,4,Rs 379.00
12,Garden and Outdoors,"""https://www.amazon.in/gp/bestsellers/garden""",15,Solar and Wind Power,"""https://www.amazon.in/gp/bestsellers/garden/3639116031""",10,"HKV Led Bright Solar Lights Outdoor,74 LED Solar Motion Sensor Lights Outdoor, 3 Adjustable Heads Solar Security Lights, IP65 Waterproof Flood Lights for Pathway(Acrylic)","""https://images-eu.ssl-images-amazon.com/images/I/61tcMNO9miL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,352,"Rs 1,099.00"
