Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",1,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/414cDouBcAL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",2,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51Y-cUDmwWL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",3,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51QSfryQXEL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",4,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/41bP33iBpIL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",5,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/41o1i4kLCyL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",6,Amazon Pay Gift Card - In a Black Box,"""https://images-eu.ssl-images-amazon.com/images/I/31pWbKH9R+L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,378","Rs 1,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",7,Tanishq E-Giftcard for Gold Jewellery - Flat 1% off - Redeemable at Showroom,"""https://images-eu.ssl-images-amazon.com/images/I/41GgpBOHAOL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,370,Rs 500.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",8,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51zhIrmcHXL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",9,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/41bazBui42L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",10,Home Centre Flat 8% off at checkout E-Gift Card,"""https://images-eu.ssl-images-amazon.com/images/I/41Q8Bb-lHmL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"1,288",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",11,Amazon Pay Gift Card - In a Black Box,"""https://images-eu.ssl-images-amazon.com/images/I/31pWbKH9R+L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,378","Rs 2,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",12,Max E-Gift Card - Flat 8% off - Redeemable at Outlets,"""https://images-eu.ssl-images-amazon.com/images/I/41TyHehOomL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"4,279",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",13,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51ltKZn8HYL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",14,Nykaa E-Gift Card - Flat 4% off - Redeemable Online,"""https://images-eu.ssl-images-amazon.com/images/I/41aeSom0hkL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,127,"Rs 1,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",15,Pantaloons E-Gift Card - Flat 6% off - Redeemable on stores,"""https://images-eu.ssl-images-amazon.com/images/I/41MHS-kOU5L._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"1,682","Rs 10,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",16,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51T7UH0YYoL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",17,Amazon Pay Gift Card - Wedding Gift Box | Happy Married life,"""https://images-eu.ssl-images-amazon.com/images/I/8116-y3OhAL._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,"3,918","Rs 5,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",18,Lifestyle E-Gift Card - Flat 7% off - Redeemable at Stores,"""https://images-eu.ssl-images-amazon.com/images/I/41bJ+HPgZdL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"5,978","Rs 10,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",19,Amazon Pay Gift Card - In a Black Box,"""https://images-eu.ssl-images-amazon.com/images/I/31pWbKH9R+L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,378","Rs 5,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",20,Amazon Pay Gift Card - Wedding Gift Box | Happy Married life,"""https://images-eu.ssl-images-amazon.com/images/I/8116-y3OhAL._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,"3,918","Rs 1,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",21,Bata E-Gift Card - Flat 11% off - Redeemable in Stores,"""https://images-eu.ssl-images-amazon.com/images/I/51o2MY1l4aL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,492,"Rs 1,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",22,Amazon Pay Gift Card - In a Black Box,"""https://images-eu.ssl-images-amazon.com/images/I/31pWbKH9R+L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"4,378","Rs 3,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",23,Amazon Pay Gift Card - Wedding Gift Box | New Beginnings,"""https://images-eu.ssl-images-amazon.com/images/I/81GdxFOXH4L._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,"2,157","Rs 5,000.00"
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",24,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/41tCpGeyKLL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",25,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51dlMJm+cXL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",26,Amazon Pay eGift Card,"""https://images-eu.ssl-images-amazon.com/images/I/51+YpimjaEL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"171,010",Rs 100.00
13,Gift Cards,"""https://www.amazon.in/gp/bestsellers/gift-cards""",12,Wedding and Engagement,"""https://www.amazon.in/gp/bestsellers/gift-cards/4489235031""",27,Shoppers Stop - Digital Voucher,"""https://images-eu.ssl-images-amazon.com/images/I/41fCYnBbCkL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"2,881",Rs 500.00
