Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",1,Happilo 100% Natural Premium California Almonds 200 g Dried | Premium Badam Giri | High in Fiber and Boost Immunity | Real Nuts | Gluten Free and Zero Cholesterol,"""https://images-eu.ssl-images-amazon.com/images/I/71M6kMdnqTL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"21,482",Rs 125.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",2,Happilo 100% Natural Premium California Dried Almonds 500g Pack Pouch | Premium Badam Giri | High in Fiber and Boost Immunity | Real Nuts | Gluten Free,"""https://images-eu.ssl-images-amazon.com/images/I/713D1eLsaqL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"31,245",Rs 359.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",3,"Britannia 50-50 Maska Chaska Salted Biscuits, 300 g Pack of 3","""https://images-eu.ssl-images-amazon.com/images/I/61Tx4AvNy9L._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,88,Rs 270.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",4,"Lay's Potato Chips , American Style Cream and Onion Flavor, Crunchy Chips and Snacks , 50g / 52g (Weight May Vary)","""https://images-eu.ssl-images-amazon.com/images/I/71q0N2HhJ2L._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"18,843",Rs 18.90
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",5,Happilo 100% Natural Premium Whole Cashews 500g Value Pack |Whole Crunchy Cashew | Premium Kaju nuts | Nutritious and Delicious | Gluten Free and Plant based Protein,"""https://images-eu.ssl-images-amazon.com/images/I/71SN3vHHd8L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"14,217",Rs 18.90
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",6,"Chocobakes Choc layered Cakes, 126g","""https://images-eu.ssl-images-amazon.com/images/I/71P2iOAIi9L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"8,409",Rs 519.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",7,Happilo Premium California Roasted and Salted Pistachios 200g| Pista Dry Fruit| Tasty and Healthy| High in Protein and Dietary Fiber | Gluten Free and Low Calorie Nuts,"""https://images-eu.ssl-images-amazon.com/images/I/71-PD0VJWtL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"14,716",Rs 519.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",8,"Cadbury Oreo Vanilla Flavour Cookie Sandwich Cream Biscuit, Pack of 3x100g Family Pack","""https://images-eu.ssl-images-amazon.com/images/I/617tvTiZLGL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"10,605",Rs 57.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",9,Happilo Premium Seedless Green Raisins 500g Value Pack| Kishmish | Nutritious| Rich in Iron and Vitamin B,"""https://images-eu.ssl-images-amazon.com/images/I/713q2GS9tML._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"14,212",Rs 229.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",10,"Amazon Brand - Vedaka Raw Peanuts, Pink, 1kg","""https://images-eu.ssl-images-amazon.com/images/I/61u9RgVeeZL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"16,085",Rs 75.00
14,Grocery and Gourmet Foods,"""https://www.amazon.in/gp/bestsellers/grocery""",13,Snacks and Sweets,"""https://www.amazon.in/gp/bestsellers/grocery/27966993031""",11,"Sunfeast Farmlite Digestive High Fibre Biscuit Bag, (mega family pack) - 800g/1kg ( Weight May Vary )","""https://images-eu.ssl-images-amazon.com/images/I/81g2WDX2zNL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"3,636",Rs 159.00
