Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",1,Gillette Classic Sensitive Shave Foam - 418 g (33% extra),"""https://images-eu.ssl-images-amazon.com/images/I/51lKNKuqJjL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"30,042",Rs 115.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",2,"Braun Face Mini Hair Remover FS1000, Electric Facial Hair Removal for Women, Facial Hair Remover, Quick, Gentle and Painless, Finishing","""https://images-eu.ssl-images-amazon.com/images/I/61WLEgYtEuL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"13,508","Rs 1,599.00"
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",3,Prima Donna Cotton Pads for Face Make Removal 100 Soft Round Pads - Pack of 2 (200) - White,"""https://images-eu.ssl-images-amazon.com/images/I/618+1gkqpTL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"17,391",Rs 175.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",4,"PHILIPS HP8302 Selfie Straightener, Black","""https://images-eu.ssl-images-amazon.com/images/I/714hrEDP8uL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"41,558",Rs 930.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",5,"Urbangabru Hair Removal cream Spray | Painless Body Hair Removal spray For Chest, Back, Legs and Under Arms (200 ml) (Hair Removal Cream Spray - 200ml)","""https://images-eu.ssl-images-amazon.com/images/I/71QN-Aq7EcL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"1,793",Rs 599.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",6,"Urban Yog Hair Removal Cream Spray for Women - 200 ML | Painless Body Hair Removal for women’s Hands, Legs and Under Arms | Natural and Safe | Easy to use hair removal spray","""https://images-eu.ssl-images-amazon.com/images/I/61P2m+ptXsL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,312,Rs 499.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",7,"Dr. Korpet 3 in 1 vaporizer steamer for cough,cold and facial, inhaler and steamer for cold and cough - Blue","""https://images-eu.ssl-images-amazon.com/images/I/615r2-7Gw0L._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"4,819",Rs 289.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",8,"Veet Pure Hair Removal Cream for Women With No Ammonia Smell, Normal Skin - 100g | Suitable for Legs, Underarms, Bikini Line, Arms | 2x Longer Lasting Smoothness than Razors","""https://images-eu.ssl-images-amazon.com/images/I/61ZuTAHD7PL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"10,358",Rs 196.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",9,"Veet Instant Waxing Kit for Dry Skin, (20 strips) | Cold Gel Wax Hair Removal for Women | Upto 28 Days of Smoothness | No Wax Heater or Wax Beans Required","""https://images-eu.ssl-images-amazon.com/images/I/613oEZxtCeL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"16,247",Rs 200.00
15,Health and Personal Care,"""https://www.amazon.in/gp/bestsellers/hpc""",10,Tools and Accessories,"""https://www.amazon.in/gp/bestsellers/hpc/1374450031""",10,"HealthSense Steamer for Cold and Cough, Vapourizer and Steamer for Face steam, Steam Inhaler and Vaporizer Machine with Nano-Ionic Technology, UV Steam Sterilization, Fast Mist in 50sec, Aroma Diffuser Tray and 1 Year Warranty - Nano-Cure FS 550","""https://images-eu.ssl-images-amazon.com/images/I/61JUAq7WWzL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"11,771","Rs 1,799.00"
