Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",1,"MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360 View | 2MP | AI Powered Motion Detection | Enhanced Night Vision| Talk Back Feature (2 Way Calling), 1080p, White","""https://images-eu.ssl-images-amazon.com/images/I/51Rvl7DuOUL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"44,274","Rs 2,990.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",2,TP-Link Tapo 360° 3MP (2304 × 1296) Ultra-High-Definition Video Pan/Tilt Smart Wi-Fi Security Camera | Alexa Enabled | 2-Way Audio| Night Vision| Motion Detection | Indoor CCTV (Tapo C210),"""https://images-eu.ssl-images-amazon.com/images/I/51mLt7ZGB5L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"98,169","Rs 2,879.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",3,CP PLUS 2MP Full HD Smart Wi-fi CCTV Security Camera |360° with Pan and Tilt | View and Talk | Motion Alert | Night Vision |SD Card (Up to 128 GB) |Alexa and Google Support | IR Distance 10mtr | CP-E25A,"""https://images-eu.ssl-images-amazon.com/images/I/31Nk80-hUUL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,544,"Rs 1,699.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",4,IMPOWER Self Defence Pepper Spray for Woman Safety - 55 ML (Pack of 1),"""https://images-eu.ssl-images-amazon.com/images/I/61Nkx+Lyc-L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"8,251",Rs 166.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",5,"CP PLUS 3MP Full HD Smart Wi-fi CCTV Security Camera | 360° View | Two Way Talk | Cloud Monitor | Motion Detect | Night Vision | SD Card Support | Supports Alexa and Ok Google | 15 Mtr, White- CP-E31A","""https://images-eu.ssl-images-amazon.com/images/I/31jX+aam1nL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,639","Rs 2,179.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",6,TP-Link Tapo 360° 2MP 1080p Full HD Pan/Tilt Home Security Wi-Fi Smart Camera| Alexa Enabled| 2-Way Audio| Night Vision| Motion Detection| Sound and Light Alarm| Indoor CCTV (Tapo C200) White,"""https://images-eu.ssl-images-amazon.com/images/I/61XL2jzXhTL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"98,169","Rs 2,519.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",7,Qubo Smart Cam 360 from Hero Group | Made in India | 2MP 1080p Full HD | CCTV Wi-Fi Camera | 360 Degree Coverage| Two Way Talk | Mobile App Connectivity | Night Vision | Cloud and SD Card Recording,"""https://images-eu.ssl-images-amazon.com/images/I/41VQBioa2FL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"3,406","Rs 2,750.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",8,TP-Link Tapo 3MP 1296p High Definition Outdoor CCTV Security Wi-Fi Smart Camera | Alexa Enabled | Weatherproof | Night Vision | 2-Way Audio | SD Storage (Tapo C310) White,"""https://images-eu.ssl-images-amazon.com/images/I/51ej51+LmnL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"2,752","Rs 3,599.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",9,CP PLUS 2MP Full HD Smart Wi-fi CCTV Security Camera | 360° with Pan Tilt | Two Way Talk | Cloud Monitor | Motion Detect | Night Vision | Supports SD Card (Up to 128 GB) | Alexa and Ok Google | CP-E21A,"""https://images-eu.ssl-images-amazon.com/images/I/518y9EFw9vL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,639","Rs 2,110.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",10,"Water Tank Overflow Alarm, Cell Powered, Loud Human Voice, 100% Shock Proof, 1 Year Cell Life, One Year Complete Guarantee","""https://images-eu.ssl-images-amazon.com/images/I/618qcenBrDL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"1,068",Rs 225.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",11,Mantra MFS100 v54 OTG with RD Service Finger Print Scanner (Black),"""https://images-eu.ssl-images-amazon.com/images/I/61XJUWqg4TL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"8,588","Rs 2,820.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",12,"Imou 360° 1080P Full HD Security Camera, Human Detection, Motion Tracking, 2-Way Audio, Night Vision, Dome Camera with WiFi and Ethernet Connection, Alexa Google Assistant, Up to 256GB SD Card Support","""https://images-eu.ssl-images-amazon.com/images/I/51HdC2UqaLL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"5,442","Rs 2,299.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",13,"Fastrack New Reflex Hello|BT Calling|1.69” HD Display|50+ Sports Modes|100+,Watchfaces|Game|BP Monitor|24x7 HRM| SpO2|Sleep Monitor|Custom Watchface|5Days* Battery|Camera and Music Control|IP68","""https://images-eu.ssl-images-amazon.com/images/I/61AigzIaAwL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,331,"Rs 3,995.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",14,"Anchor by Panasonic Ding Dong Door Bells Dual Tone aesthetics for Home (240V, White)","""https://images-eu.ssl-images-amazon.com/images/I/81lPy-EBKIL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"1,878",Rs 240.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",15,IMPOWER Self Defence Pepper Spray Green Chilli for Woman Safety - 55 ML (Pack of 1),"""https://images-eu.ssl-images-amazon.com/images/I/61QwKCVrr+L._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,71,Rs 151.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",16,"BIGSAVINGS Light-Solar Powered Cordless Outdoor LED Motion Sensor Path and Security Light - Pack of 4,Plastic","""https://images-eu.ssl-images-amazon.com/images/I/71wZ78zpCCL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,581,Rs 678.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",17,Western Digital WD Purple 64GB Surveillance and Security Camera Memory Card for CCTV and WiFi Cameras (WDD064G1P0C),"""https://images-eu.ssl-images-amazon.com/images/I/71O2ravB8NL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"3,220",Rs 609.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",18,IFITech 1080p USB Charger Type Hidden Camera | Home Security spy Camera | Support Maximum 256 Gb Memory Cards | Continuous and Motion Based Recording Option | Ideal for Home/Office Monitoring,"""https://images-eu.ssl-images-amazon.com/images/I/51NIFlY4adL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,"4,669","Rs 1,465.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",19,"Kent Cam Eye Home Cam 360 CCTV WiFi Security Camera Full HD 1080p Night Vision 360 Degree with Pan, Tilt Two Way Audio Cloud, SD Card Recording AI Motion Detection Made in India -White","""https://images-eu.ssl-images-amazon.com/images/I/51eCqRMyqCL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"2,127","Rs 2,499.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",20,"Zebronics Zeb Smart Cam 100 Smart Home Automation WiFi Camera with Remote Monitoring, Advanced Motion Detection, Day/Night Mode, Live Streaming, Micro SD Card Slot, 2 Way Audio, works with Android and iOS Smartphones","""https://images-eu.ssl-images-amazon.com/images/I/41QmAkLVUoL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,"1,990","Rs 1,399.00"
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",21,"Nubilous LED Bright Outdoor Solar Lights with Motion Sensor Solar Powered Wireless Waterproof Night Spotlight for Outdoor/Garden Wall, Solar Lights for Home (100 Led, 1)","""https://images-eu.ssl-images-amazon.com/images/I/51xQlxBON8L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,532,Rs 399.00
17,Home Improvement,"""https://www.amazon.in/gp/bestsellers/home-improvement""",8,Safety and Security,"""https://www.amazon.in/gp/bestsellers/home-improvement/4286645031""",22,"Yale Standard X-Large Electronic Safe Locker with Pincode Access- 41 litres, Black","""https://images-eu.ssl-images-amazon.com/images/I/71djPdystZL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"1,944","Rs 7,799.00"
