Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",1,"Konvio Neer Imported Total Dissolved Solids Meter, Water Quality Tester, PPM Tester For Household Drinking Water, Swimming Pools, Aquariums, Hydroponics and more(1)","""https://images-eu.ssl-images-amazon.com/images/I/41T7y64PCiS._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"21,789",Rs 299.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",2,"beatXP Floral Digital Bathroom Weighing Scale with LCD Panel and Thick Tempered Glass, Electronic Weight Machine for Human Body - 2 Year Warranty","""https://images-eu.ssl-images-amazon.com/images/I/71VQE4ocHDL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"6,344",Rs 599.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",3,"Asian Paints TruCare High-Quality Carbon Steel Measuring Tape Strip | With Thumb Lock and Belt Clip (5m, White)","""https://images-eu.ssl-images-amazon.com/images/I/51v4maUtHIL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,199,Rs 119.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",4,FREEMANS IK316 Ikon 3m:16mm Measuring Tape,"""https://images-eu.ssl-images-amazon.com/images/I/61gpI-8nIOL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"5,767",Rs 56.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",5,"IONIX TDS Meter, (6 Month Warranty) TDS meter for water testing best, TDS meter for water testing, Water TDS meter digital for home, Water meter, Water testing kit, Total Dissolved Solids Meter, Water Quality Tester","""https://images-eu.ssl-images-amazon.com/images/I/51wX68RV-CL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"4,746",Rs 185.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",6,"STANLEY STHT36127-812 5 Meter Plastic Short Measuring Tape (5m), Limited Lifetime Warranty (Yellow)","""https://images-eu.ssl-images-amazon.com/images/I/41unYMcqpZL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"21,525",Rs 115.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",7,Themisto TH-M98 Digital Multimeter (Black 2000 Counts),"""https://images-eu.ssl-images-amazon.com/images/I/51i3IG7QaGS._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"1,489",Rs 745.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",8,STANLEY STHT36125-812 3 Meter Plastic Short Measuring Tape (Yellow),"""https://images-eu.ssl-images-amazon.com/images/I/71SDsLpN4VL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"5,368",Rs 95.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",9,"AptechDeals Mini LCD digital thermometer sensor wired for Room temperaure/fridges, Indoor Outdoor Portable Pocket LCD Electronic Temperature Meter Tester Instant Read Thermocouple","""https://images-eu.ssl-images-amazon.com/images/I/71c3TpiYPbL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,"2,414",Rs 170.00
18,Industrial and Scientific,"""https://www.amazon.in/gp/bestsellers/industrial""",24,"Test, Measure and Inspect","""https://www.amazon.in/gp/bestsellers/industrial/6395912031""",10,"Konvio Neer Full pH 1-14 Test Indicator Litmus pH Paper, ph Meter, Litmus Paper for Water Testing, Water and Soil testing with 80 Strips, 1-14 Test Indicators, pH Strip(80 Strips)","""https://images-eu.ssl-images-amazon.com/images/I/51u3mEE3xML._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,966",Rs 189.00
