Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",1,Sukkhi Adorable Gold Plated Pearl Choker Necklace Set for Women,"""https://images-eu.ssl-images-amazon.com/images/I/81UaMFQR6kL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"6,486",Rs 159.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",2,Okos Rose Gold Plated Pink Flowers Link Chain Adjustable Size Charm Alloy Bracelet Decorated With Crystals for Girls and Women BROK1000009,"""https://images-eu.ssl-images-amazon.com/images/I/71NbkTQGTML._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,946,Rs 39.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",3,Brado Jewellery Multi Wearing Heart Necklace 4 Heart Magnetic Rose Gold Necklace Pendant Heart Toggle Necklace Diamond Women/Girls Accessories,"""https://images-eu.ssl-images-amazon.com/images/I/51R3cy1wVmL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"1,166",Rs 187.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",4,"Silvr Bear Luxury Satin Scrunchies for Women/Girls SAME 5 COLORS AS PIC | Anti-Hair-Breakage, Hair Ties, Scrunchies Set for Girls, Women, Best Gift for Sister, Friend, Mom | Classic Shades","""https://images-eu.ssl-images-amazon.com/images/I/81VHXwsLHHL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"1,705",Rs 299.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",5,YouBella Jewellery Bracelets for Women Stylish Rose Gold Plated Crystal Bracelet Bangle Jewellery for Girls and Women,"""https://images-eu.ssl-images-amazon.com/images/I/71P8z0DrFRL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"10,913",Rs 208.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",6,YouBella Jewellery Earrings for women Crystal Tassel Handmade Earrings for Girls and Women,"""https://images-eu.ssl-images-amazon.com/images/I/81DuCjcX6ZL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"1,810",Rs 327.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",7,Tanishq E-Giftcard for Gold Jewellery - Flat 1% off - Redeemable at Showroom,"""https://images-eu.ssl-images-amazon.com/images/I/41GgpBOHAOL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,370,Rs 500.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",8,Brado Jewellery Gold Plated Combo Of 3 Butterfly Pink Green Black Pendant Chain necklace For Women and Girls,"""https://images-eu.ssl-images-amazon.com/images/I/71rw5o-HaDL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,284,Rs 149.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",9,Shining Diva Fashion 15 Latest Designs Crystal Multilayer Stylish 3-5 pcs Set Charm Bracelets for Women and Girls,"""https://images-eu.ssl-images-amazon.com/images/I/61JNAzCKcdL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,"2,770",Rs 203.70
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",10,"ANNACREATIONS Metal, Plastic Pearl Barrettes for Women, Black, 11 Piece","""https://images-eu.ssl-images-amazon.com/images/I/51qzVsV2n2S._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,502,Rs 349.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",11,Shining Diva Fashion Latest pairs Earrings Combo Set Crystal Pearl Stud Earrings for Women,"""https://images-eu.ssl-images-amazon.com/images/I/61xmb0cOh9L._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"4,795",Rs 240.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",12,Valentine Gift By Shining Diva,"""https://images-eu.ssl-images-amazon.com/images/I/61ZA0394h7L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"8,471",Rs 320.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",13,Hot And Bold Natural Reiki Feng-Shui Healing Crystal Gem Stone Triple Protection Beads Bracelets.Orignal.,"""https://images-eu.ssl-images-amazon.com/images/I/51SGKBKQnjL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,218",Rs 379.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",14,YouBella Jewellery Celebrity Inspired Gold Plated Earrings Combo for Girls and Women,"""https://images-eu.ssl-images-amazon.com/images/I/61MjYLcoo8L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,352,Rs 238.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",15,Shining Diva Fashion Set of 4 Multilayer Charm Bangle Gold Plated Bracelet for Women and Girls,"""https://images-eu.ssl-images-amazon.com/images/I/61oCLzTHSiL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,"2,212",Rs 255.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",16,Peora Gold Plated Crystal Pearl Long Necklace with Drop Earrings Traditional Ethnic Jewellery Set for Women Girls,"""https://images-eu.ssl-images-amazon.com/images/I/71hDlS2ylwL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,481,Rs 399.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",17,Brado Jewellery Micro Rose Gold Plated White American Diamond Butterfly Shape Necklace Golden Chain Pendant for Women and Girls,"""https://images-eu.ssl-images-amazon.com/images/I/61gxZw2mP4S._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"1,410",Rs 89.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",18,Shining Diva Fashion AAA Crystal 18k Rose Gold Stylish Jewellery for Women and Girls,"""https://images-eu.ssl-images-amazon.com/images/I/71pVPpqzqwL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"1,978",Rs 210.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",19,Yellow Chimes Pendant for Women and Men | Friendship Necklace Best Friend Necklace Set | Heart Shaped Best Friends Locket Combo | Accessories Jewellery for Unisex | Gift for Best Friend for Girls and Boys,"""https://images-eu.ssl-images-amazon.com/images/I/51n2fX5r5zL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"2,571",Rs 190.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",20,Brado Jewellery Gold Plated White Pearl Necklace Golden Chain Pendant for Women and Girls (White),"""https://images-eu.ssl-images-amazon.com/images/I/71CLnaa1O8L._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,556,Rs 99.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",21,YouBella Jewellery Gold Plated Floral Earrings for Girls and Women,"""https://images-eu.ssl-images-amazon.com/images/I/71iJUvjnOZL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"4,009",Rs 208.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",22,Atrube's Pack Of 4 Dual Tone Scrunchies Pink-Green Scrunchies Hair Accessories Silk Satin Scrunchies Combo of 4 Scrunchies Women Hair Ties Gifts For Girls Triple Tone Scrunchies Large Size,"""https://images-eu.ssl-images-amazon.com/images/I/61N6HY0lDLL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,78,Rs 299.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",23,Jewels Galaxy Jewels For Women Combo of Earrings,"""https://images-eu.ssl-images-amazon.com/images/I/61d1eBu-MPL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"3,469",Rs 190.00
19,Jewellery,"""https://www.amazon.in/gp/bestsellers/jewelry""",4,Women,"""https://www.amazon.in/gp/bestsellers/jewelry/7124358031""",24,Brado Jewellery Gold Plated and Brass Cubic Zirconia White American Diamond Square and One Love Heart Shape Pendant with Chain Necklace for Women - Combo of 3 (Yellow),"""https://images-eu.ssl-images-amazon.com/images/I/71-zR18JEZL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"1,857",Rs 139.00
