Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",1,"The Art Of Saying NO: How To Stand Your Ground, Reclaim Your Time And Energy, And Refuse To Be Taken For Granted (Without Feeling Guilty!) (The Art Of Living Well Book 1)","""https://images-eu.ssl-images-amazon.com/images/I/81HAu7GTkhL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"4,445",Rs 191.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",2,50 Greatest Short Stories,"""https://images-eu.ssl-images-amazon.com/images/I/81V-0E86iyL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,768,Rs 188.10
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",3,வன் காதல் காட்டு கள்வா (Tamil Edition),"""https://images-eu.ssl-images-amazon.com/images/I/81EXM6N364L._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,Rs 400.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",4,The Gita,"""https://images-eu.ssl-images-amazon.com/images/I/81TeXefBnGL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"1,399",Rs 32.76
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",5,ரதியே! என் ரதியே! (Tamil Edition),"""https://images-eu.ssl-images-amazon.com/images/I/81+ZKwkwbDL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,Rs 299.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",6,"25 small habits - Simple Daily Habits to Improve Wealth, Health and Happiness","""https://images-eu.ssl-images-amazon.com/images/I/71GiuQ12P8L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,662,Rs 99.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",7,"Do It Today: Overcome Procrastination, Improve Productivity, and Achieve More Meaningful Things","""https://images-eu.ssl-images-amazon.com/images/I/71gfBC95RIL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,"3,467",Rs 49.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",8,Harry Potter and the Philosopher\'s Stone,"""https://images-eu.ssl-images-amazon.com/images/I/81m9fP+LIPL._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,"55,516",Rs 293.55
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",9,அழகுக்கு அழகானேன் உன்னாலே (Tamil Edition),"""https://images-eu.ssl-images-amazon.com/images/I/81KQiipRGRL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,14,Rs 330.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",10,ஆடு புலி ஆட்டம் - Series of 6 warriors: Aadu puli aatam (Tamil Edition),"""https://images-eu.ssl-images-amazon.com/images/I/81IpxZJLCIL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,14,"Rs 1,500.00"
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",11,Mariyadhe Manamagal (Tamil Edition),"""https://images-eu.ssl-images-amazon.com/images/I/71jS4x6MGAL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,37,Rs 300.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",12,The Royal Contract: An Arranged Marriage Romance,"""https://images-eu.ssl-images-amazon.com/images/I/81Oap9yvswL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,25,Rs 199.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",13,"55 Questions to ask yourself, Across 8 Dimensions For A New You!","""https://images-eu.ssl-images-amazon.com/images/I/51TXNuRVFvL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,623,Rs 99.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",14,மான்ஸ்டரின் மனம் கொய்த அரக்கியவள்.... (Tamil Edition),"""https://images-eu.ssl-images-amazon.com/images/I/71ep6VXUbsL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,3,Rs 350.00
20,Kindle Store,"""https://www.amazon.in/gp/bestsellers/digital-text""",1,Kindle eBooks,"""https://www.amazon.in/gp/bestsellers/digital-text/1634753031""",15,Rumi\'s Little Book of Life,"""https://images-eu.ssl-images-amazon.com/images/I/91eize2JOzL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"1,751",Rs 220.50
