Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",1,"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)","""https://images-eu.ssl-images-amazon.com/images/I/613r28hlb-L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"14,575",Rs 130.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",2,UCRAVO Double Sided Tape Heavy Duty - Multipurpose Removable Traceless Mounting Adhesive Tape for Walls，Washable Reusable Strong Sticky Strips Grip Tape,"""https://images-eu.ssl-images-amazon.com/images/I/518BlGJxdFL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"17,422",Rs 273.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",3,"Tizum Mouse Pad/ Computer Mouse Mat with Anti-Slip Rubber Base | Smooth Mouse Control | Spill-Resistant Surface for Laptop, Notebook, MacBook, Gaming, Laser/ Optical Mouse, 9.4”x 7.9”, Multicolored","""https://images-eu.ssl-images-amazon.com/images/I/81ha67yYQuL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,"5,206",Rs 169.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",4,"Callas Multipurpose Foldable Laptop Table with Cup Holder | Drawer | Mac Holder | Table Holder Study Table, Breakfast Table, Foldable and Portable/Ergonomic and Rounded Edges/Non-Slip Legs (WA-27-Black)","""https://images-eu.ssl-images-amazon.com/images/I/61GQUtqKIpS._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"20,219",Rs 699.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",5,"zest 4 toyz Globe for Kids, Stem Steam Educational World Globe with Magnifying Glass for Kids/Political Globe/Office Globe/Globes for Students - 8 Inch(Blue)","""https://images-eu.ssl-images-amazon.com/images/I/91czD7X8hvL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"3,434",Rs 499.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",6,"double sided tape for clothes tape for clothes Double Sided Tape for Fashion, Clothing and Body (36 Strip Pack) | All Day Strength Tape Adhesive and Gentle on Skin and Fabrics | Transparent (36)","""https://images-eu.ssl-images-amazon.com/images/I/51J8Ph-rUVL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,26,Rs 199.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",7,"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible with Laser and Optical Mice(Universe Black)","""https://images-eu.ssl-images-amazon.com/images/I/61zroMjd9FL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,366,Rs 129.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",8,"double sided tape for clothes tape for clothes Double Sided Tape for Fashion, Clothing and Body | All Day Strength Tape Adhesive and Gentle on Skin and Fabrics | Transparent (36)","""https://images-eu.ssl-images-amazon.com/images/I/61V+HLl8UeL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,94,Rs 199.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",9,"Chillyfit Double Sided Tape, Heavy Duty Self Adhesive Tape, Two Side Sticky Pads Strong Wall Adhesive Strips No Marks Reusable Removable Clear Tape for Picture Hanging, Carpet Glue","""https://images-eu.ssl-images-amazon.com/images/I/71E+jOSMvJS._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"3,085",Rs 282.00
24,Office Products,"""https://www.amazon.in/gp/bestsellers/office""",4,Office Supplies,"""https://www.amazon.in/gp/bestsellers/office/3591020031""",10,"Double Sided Tape Heavy Duty- Misamo Enterprise,Nano Transparent Poster Tape for Wall,Washable Reusable Tape for Fixing Carpet Photo and Wall Decorations(2.0 mm, Pack of 1)","""https://images-eu.ssl-images-amazon.com/images/I/7191TOUXnhL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,342,Rs 265.00
