Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",1,"Boltz Premium Adult Pellet Rabbit Food,Nutritionist Choice (ISO 9001 Certified)-1200 gm","""https://images-eu.ssl-images-amazon.com/images/I/61Pk+vnjeCL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,"1,891",Rs 399.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",2,"BOLTZ Pellet Guinea Pig Food For All Life Stages, Vegetable Flavor, Nutritionist Choice (ISO 9001 Certified), Medium, 1200g","""https://images-eu.ssl-images-amazon.com/images/I/61j7iVPv4hL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,656,Rs 399.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",3,"HARRINGTONS Adult Small Animal Optimum Rabbit Pellet Food, 2 kg","""https://images-eu.ssl-images-amazon.com/images/I/81GLHntwlAL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,661,Rs 399.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",4,"Petslife All Life Stages Rabbit Premium Dry Food, 1 kg","""https://images-eu.ssl-images-amazon.com/images/I/81cxEiRwSjL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,609,Rs 825.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",5,"Boltz Rabbit Litter Spray with Lemon Grass and Neem, Medium, 200 ml","""https://images-eu.ssl-images-amazon.com/images/I/51b13FfnasL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,731,Rs 495.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",6,"AmazonBasics Two Door Top Load Pet Carrier (1 Piece,19-inch)","""https://images-eu.ssl-images-amazon.com/images/I/61oamLtBRRS._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,489,Rs 249.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",7,"Zupreem Nature's Promise Hay for Pet Rabbit of All Life Stages, Variety Flavour, 397 G","""https://images-eu.ssl-images-amazon.com/images/I/71WgHnZShvL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"15,439","Rs 1,559.00"
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",8,"PETSLIFE Food for Guinea Pig, 1 Kg","""https://images-eu.ssl-images-amazon.com/images/I/81khzQqwp9L._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,601,Rs 618.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",9,"Urinefree Odour and Stain Remover, 500 ml, 1 Piece","""https://images-eu.ssl-images-amazon.com/images/I/61ORS+mLEEL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,367,Rs 540.00
25,Pet Supplies,"""https://www.amazon.in/gp/bestsellers/pet-supplies""",6,Small Animals,"""https://www.amazon.in/gp/bestsellers/pet-supplies/4771347031""",10,"Boltz Turtle Food for Growth and Health,Nutritionist Choice (1 Kg)","""https://images-eu.ssl-images-amazon.com/images/I/7128aI+-qmL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,845,Rs 490.00
