Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",1,crocs Unisex Ballet Bayaband,"""https://images-eu.ssl-images-amazon.com/images/I/712Brp0hwfL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,"27,081","Rs 1,852.00"
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",2,Campus Men's OXYFIT (N) Walking Shoe,"""https://images-eu.ssl-images-amazon.com/images/I/61bzb6TpfIS._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"34,301",Rs 599.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",3,ASIAN Men's Wonder-13 Sports Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/61utX8kBDlL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"82,318",Rs 450.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",4,DOCTOR EXTRA SOFT Doctor Ortho Slippers for Women.,"""https://images-eu.ssl-images-amazon.com/images/I/51dMc66bcZL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"45,298",Rs 379.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",5,"ASIAN Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's and Boy's","""https://images-eu.ssl-images-amazon.com/images/I/61pYhDY8fxL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"20,333",Rs 499.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",6,DRUNKEN Slipper for Men and Women Flip Flops Winter Carpet Slippers for Bedrooms Sandal,"""https://images-eu.ssl-images-amazon.com/images/I/91T-1TJrVQL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,"7,068",Rs 283.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",7,Campus Men's Maxico Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/81Pk4RiSKqL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"16,918",Rs 727.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",8,Flite Men's Flip Flops Thong Slippers,"""https://images-eu.ssl-images-amazon.com/images/I/41QWd-jdlFL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"45,687",Rs 213.50
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",9,Campus Men's Crysta Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/61tyAzC-w9L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"18,076",Rs 650.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",10,"ASIAN F-04 Running Shoes,Gym Shoes,Training Shoes,Walking Shoes,Sports Shoes for Men","""https://images-eu.ssl-images-amazon.com/images/I/61C7ArtiuZL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"14,234",Rs 474.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",11,layasa Comfotable Lightweight Casual Sneaker for Women/Girls,"""https://images-eu.ssl-images-amazon.com/images/I/71dsmh1-tAL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,501,Rs 389.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",12,Sparx Men's Sm-675 Running Shoe,"""https://images-eu.ssl-images-amazon.com/images/I/71u2XOFXAIL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"3,970",Rs 729.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",13,"ASIAN Women's Elasto-02 Knitted,Sports,Walking,Slipon Shoes","""https://images-eu.ssl-images-amazon.com/images/I/61pmIvqpXLL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"9,088",Rs 599.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",14,Sparx Mens Sm-323 Sneaker,"""https://images-eu.ssl-images-amazon.com/images/I/51g6S2XoAcL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"44,395",Rs 692.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",15,Campus Men's Rodeo-2 Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/714xF-e+eAL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"12,383",Rs 701.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",16,Campus Mens Ignite Pro Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/71n9xHYpaHL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"4,823",Rs 604.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",17,DOCTOR EXTRA SOFT House Slipper for Women's Dr Orthopaedic Super Comfort Fit Flat Cushion Flip Flop for Ladies OR D-19,"""https://images-eu.ssl-images-amazon.com/images/I/71-bWsEMbXS._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,"22,199",Rs 379.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",18,Campus Men's North Plus Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/61QJ3iZPNYL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"1,394",Rs 379.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",19,"TRASE Women's Boots | Faux Leather, Trendy, Comfortable, Zipper Boots for Casual, Outdoor and Holiday Outings","""https://images-eu.ssl-images-amazon.com/images/I/51I36y085zL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"5,788","Rs 1,087.00"
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",20,"DOCTOR EXTRA SOFT Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls","""https://images-eu.ssl-images-amazon.com/images/I/71jBkSHQa-L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"1,612",Rs 699.00
26,Shoes and Handbags,"""https://www.amazon.in/gp/bestsellers/shoes""",3,Shoes,"""https://www.amazon.in/gp/bestsellers/shoes/1983396031""",21,Campus Men's Mike (N) Running Shoes,"""https://images-eu.ssl-images-amazon.com/images/I/610BudVaIbL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"1,451",Rs 626.00
