Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",1,AVS Video Editor Unlimited | Email Delivery | No CD/DVD,"""https://images-eu.ssl-images-amazon.com/images/I/71U3bDzVM0L._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,18,"Rs 5,500.00"
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",2,Roxio Easy VHS to DVD for Mac,"""https://images-eu.ssl-images-amazon.com/images/I/61TK2iTiUZL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,21,"Rs 5,500.00"
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",3,Edius Pro X (EDIUS 10) and Adobe After Effects Projects Dongle With 2TB Internal HDD,"""https://images-eu.ssl-images-amazon.com/images/I/61fs-n16wfL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 5,500.00"
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",4,Grass Valley EDIUS X (EDIUS 10) Pro - Nonlinear Video Editing Software,"""https://images-eu.ssl-images-amazon.com/images/I/6153xxtKNiL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,14,"Rs 5,500.00"
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",5,"Fast Video Maker - 1 PC, 1 Year (Email Delivery in 24 hours - No CD)","""https://images-eu.ssl-images-amazon.com/images/I/51-0wSzfH5L._AC_UL900_SR900600_.jpg",1.2 out of 5 stars,6,Rs 399.00
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",6,TechGuy4u Professional YouTube Movie Maker | Video Editing Software for Windows,"""https://images-eu.ssl-images-amazon.com/images/I/71f7vJAKi1L._AC_UL900_SR900600_.jpg",2.7 out of 5 stars,7,Rs 391.02
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",7,Corel VideoStudio Pro 2021 | Video and Movie Editing Software | For Windows,"""https://images-eu.ssl-images-amazon.com/images/I/61a1LXutfRL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,26,"Rs 6,999.00"
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",8,"Fast Screen Recorder - 1 PC, 1 Year (Email Delivery in 24 hours - No CD)","""https://images-eu.ssl-images-amazon.com/images/I/51Wvd0a+B4L._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,1,Rs 399.00
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",9,Pinnacle Studio 19 Standard | Advanced Video Editing and Screen Recording | Lifetime | For Windows,"""https://images-eu.ssl-images-amazon.com/images/I/718WJdJMZ1L._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,8,"Rs 3,999.00"
27,Software,"""https://www.amazon.in/gp/bestsellers/software""",14,Video,"""https://www.amazon.in/gp/bestsellers/software/5490176031""",10,Dazzle DVD Recorder HD VHS to DVD Converter,"""https://images-eu.ssl-images-amazon.com/images/I/61KdP+KMhJL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,"1,419","Rs 7,544.00"
