Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",1,"USI UNIVERSAL THE UNBEATABLE 419WSM Wrestling Suit for Men and Women, Wrestling Singlet with Nylon Elastane Fabric 210 GSM, Irritation Free Flat Lock Seam, Grip Elastic On Bottom Hole(Blue, Size L)","""https://images-eu.ssl-images-amazon.com/images/I/3196cs1Y0bL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,35,"Rs 1,399.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",2,"USI UNIVERSAL Wrestling Singlet Comferto for Men and Women, 419WM Standard Singlet for Men and Women Wrestling Uniform Polyester Elastane Construction as Per UWW Standards (Size M, Red)","""https://images-eu.ssl-images-amazon.com/images/I/51gL0sakMdL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,35,Rs 899.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",3,Adidas Response Earguard (AE100),"""https://images-eu.ssl-images-amazon.com/images/I/51s3a-WTAkL._AC_UL900_SR900600_.jpg",3.5 out of 5 stars,3,Rs 899.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",4,Vinto Physiotherapy Pain Relief Kinesiology Tape 5 Meter Each (Pack of 3) Mix Colors,"""https://images-eu.ssl-images-amazon.com/images/I/61II0NAX7iL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,4,Rs 899.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",5,USI Moulded Plastic Ear Guard,"""https://images-eu.ssl-images-amazon.com/images/I/51yfB0ZwurL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"1,562","Rs 6,701.39"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",6,"Venum US-VENUM-2049-114-10oz Challenger 2.0 Boxing Gloves, Men's 10oz (Black)","""https://images-eu.ssl-images-amazon.com/images/I/81xavePwrVL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,13,"Rs 6,701.39"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",7,LUCA Boxing/Wrestling Men's Shoe | Walking Shoe | for Men and Adult | Sports Shoes for Men | Lace-Up | Training and Practice | Black Color Shoe |,"""https://images-eu.ssl-images-amazon.com/images/I/81Wtoi7FR7L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,20,"Rs 6,701.39"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",8,Nivia Wrestling Shoes (Red White),"""https://images-eu.ssl-images-amazon.com/images/I/81Wtoi7FR7L._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,20,"Rs 6,701.39"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",9,adidas 3 Side Stripes Women's,"""https://images-eu.ssl-images-amazon.com/images/I/81xavePwrVL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,2,"Rs 6,701.39"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",10,"Deagle ELYMINATOR 4 FT Kids MMA Wrestling BJJ Training Grappling Submission Dummy - UNFILLED (RED, 4FT)","""https://images-eu.ssl-images-amazon.com/images/I/51KKF8IenSL._AC_UL900_SR900600_.jpg",3.7 out of 5 stars,12,Rs 799.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",11,Roar BJJ Headgear MMA Grappling Ear Guard Fighting Sparring Helmet,"""https://images-eu.ssl-images-amazon.com/images/I/81xavePwrVL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,13,Rs 799.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",12,,"""https://images-eu.ssl-images-amazon.com/images/I/51-TvqF9waL._AC_UL900_SR900600_.jpg",2.4 out of 5 stars,3,Rs 989.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",13,,"""https://images-eu.ssl-images-amazon.com/images/I/51+saa0u84L._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,10,Rs 989.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",14,,"""https://images-eu.ssl-images-amazon.com/images/I/81xavePwrVL._AC_UL900_SR900600_.jpg",3.1 out of 5 stars,3,Rs 989.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",15,,"""https://images-eu.ssl-images-amazon.com/images/I/51Oh6Z0uPeL._AC_UL900_SR900600_.jpg",3.2 out of 5 stars,4,Rs 989.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",16,,"""https://images-eu.ssl-images-amazon.com/images/I/7109Sj9bQTL._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,123,"Rs 11,350.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",17,,"""https://images-eu.ssl-images-amazon.com/images/I/81Wtoi7FR7L._AC_UL900_SR900600_.jpg",4.7 out of 5 stars,123,"Rs 11,350.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",18,,"""https://images-eu.ssl-images-amazon.com/images/I/61c3DlKl8dL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,1,Rs 699.00
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",19,,"""https://images-eu.ssl-images-amazon.com/images/I/61I5XtDZy9L._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,16,"Rs 1,399.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",20,,"""https://images-eu.ssl-images-amazon.com/images/I/41NqbD+bpyL._AC_UL900_SR900600_.jpg",3.4 out of 5 stars,16,"Rs 1,499.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",21,,"""https://images-eu.ssl-images-amazon.com/images/I/81h7Tx8xH8L._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 1,499.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",22,,"""https://images-eu.ssl-images-amazon.com/images/I/51FVECIDJAL._AC_UL900_SR900600_.jpg",1.0 out of 5 stars,1,"Rs 1,499.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",23,,"""https://images-eu.ssl-images-amazon.com/images/I/510gvVfasXL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,175,"Rs 11,844.91"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",24,,"""https://images-eu.ssl-images-amazon.com/images/I/41kKq8pSeRL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 11,844.91"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",25,,"""https://images-eu.ssl-images-amazon.com/images/I/61Z77yr1lEL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,1,"Rs 7,618.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",26,,"""https://images-eu.ssl-images-amazon.com/images/I/81KepgBd7yL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 7,618.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",27,,"""https://images-eu.ssl-images-amazon.com/images/I/71HGn3L6imL._AC_UL900_SR900600_.jpg",4.1 out of 5 stars,213,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",28,,"""https://images-eu.ssl-images-amazon.com/images/I/81KepgBd7yL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,2,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",29,,"""https://images-eu.ssl-images-amazon.com/images/I/81KepgBd7yL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",30,,"""https://images-eu.ssl-images-amazon.com/images/I/81gMgT4+dmL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",31,,"""https://images-eu.ssl-images-amazon.com/images/I/81QkFMGtDfL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,230,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",32,,"""https://images-eu.ssl-images-amazon.com/images/I/71nJD-6AR0L._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,230,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",33,,"""https://images-eu.ssl-images-amazon.com/images/I/81KepgBd7yL._AC_UL900_SR900600_.jpg",5.0 out of 5 stars,1,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",34,,"""https://images-eu.ssl-images-amazon.com/images/I/31lWib2Wm6L._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,37,"Rs 5,462.00"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",35,,"""https://images-eu.ssl-images-amazon.com/images/I/51oQ5SdzPDL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,37,"Rs 11,844.91"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",36,,"""https://images-eu.ssl-images-amazon.com/images/I/71mvhZagoWL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,701,"Rs 11,844.91"
28,"Sports, Fitness and Outdoors","""https://www.amazon.in/gp/bestsellers/sports""",48,Wrestling,"""https://www.amazon.in/gp/bestsellers/sports/3403677031""",37,,"""https://images-eu.ssl-images-amazon.com/images/I/614L4t0QQQL._AC_UL900_SR900600_.jpg",4.4 out of 5 stars,701,"Rs 11,844.91"
