Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",1,TCOS TECH Xbox Series S Vertical Stand Holder Mount Bracket for Xbox Series S Console,"""https://images-eu.ssl-images-amazon.com/images/I/71NBQ2a52CL._AC_UL900_SR900600_.jpg",4.6 out of 5 stars,"1,610","Rs 29,990.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",2,Xbox Series X,"""https://images-eu.ssl-images-amazon.com/images/I/61-jjE67uqL._AC_UL900_SR900600_.jpg",4.8 out of 5 stars,416,"Rs 55,990.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",3,Xbox Wireless Headset,"""https://images-eu.ssl-images-amazon.com/images/I/61EGsO96eGL._AC_UL900_SR900600_.jpg",4.8 out of 5 stars,57,"Rs 9,990.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",4,Cricket 22 International Edition (Xbox),"""https://images-eu.ssl-images-amazon.com/images/I/81LkDwbijwL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,18,"Rs 1,274.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",5,ThrustMaster Ferrari 458 Spider | Racing Game Wheel | Xbox One/Xbox Series X/S/PC,"""https://images-eu.ssl-images-amazon.com/images/I/61c715wlkUS._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,"7,731","Rs 10,487.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",6,New World Silicone Cover Skin Case Protective Cover for Xbox Series X/S Controller -Black With Anti-Slip Surface- 2 Thumb Grips Free,"""https://images-eu.ssl-images-amazon.com/images/I/61QLsGGUgdS._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,40,Rs 425.00
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",7,"New World Dust Cover for Xbox Series X ,Soft Neat Lining Dust Guard, Anti Scratch Waterproof Cover Sleeve Dust Proof Kit Cover for Xbox Series X Console ( Not for Xbox one X )","""https://images-eu.ssl-images-amazon.com/images/I/51YiFuMIzLL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,37,Rs 499.00
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",8,New World Rechargeable Battery pack For Xbox one and Xbox Series Controller Battery Charging Dock with Light For Xbox One S / X and Xbox Series S/X Wireless Controller 800 MAH,"""https://images-eu.ssl-images-amazon.com/images/I/51+-Mv6on1L._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,20,"Rs 1,475.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",9,Hogwarts Legacy | Standard Edition| Xbox Series X,"""https://images-eu.ssl-images-amazon.com/images/I/81ZlKTU1pXL._AC_UL900_SR900600_.jpg",4.5 out of 5 stars,20,"Rs 4,299.00"
30,Video Games,"""https://www.amazon.in/gp/bestsellers/videogames""",8,Xbox Series X and S,"""https://www.amazon.in/gp/bestsellers/videogames/20904638031""",10,"New World Dust Proof kit For Xbox series S Console, Dust Plugs Dust Filter Kit Compatible with Xbox Series S, Include 7 Silicone Series S Dust Protector and 2 PVC Series S Mesh Filter Covers","""https://images-eu.ssl-images-amazon.com/images/I/71HE2vrQFbL._AC_UL900_SR900600_.jpg",4.2 out of 5 stars,44,Rs 625.00
