Category_number,Category_name,Category_link,Sub_category_number,Sub_categoy_name,Sub_category_link,Index,Title,Image_link,Rating,Views,Price
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",1,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM and 150+ Watch Faces and Free Additional Strap (Matte Black)","""https://images-eu.ssl-images-amazon.com/images/I/61amvAo9DtL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,341,"Rs 1,199.00"
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",2,"New Fastrack Reflex VOX 2.0 Smart Watch|BT Calling|1.8"" HD Display|Music Storage|TWS Connect|AI Voice|50+ Sports Modes|100+ Watchfaces|24x7 HRM|BP Monitor|SpO2|Sleep Tracker|Fast Charge|5 Day Battery*","""https://images-eu.ssl-images-amazon.com/images/I/61lYvGXEysL._AC_UL900_SR900600_.jpg",4.3 out of 5 stars,83,"Rs 4,995.00"
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",3,IMPERIOUS - THE ROYAL WAY Analogue Women's Watch (Black Dial),"""https://images-eu.ssl-images-amazon.com/images/I/51LTJjshaIL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"5,731",Rs 759.00
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",4,Matrix Kids Edition Spiderman/Frozen/Ben 10 / Hello Kitty Digital Watch for Kids with Disco LED Lights (Boys and Girls),"""https://images-eu.ssl-images-amazon.com/images/I/71m7syiVCNL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,721,Rs 319.00
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",5,Fastrack New Reflex Play|AMOLED Display|100 + Watchfaces|in-Built Games|24x7 HRM|BP Monitor|SpO2|Sleep Monitor|25+ Sports Modes|Custom Watchface|7 Day* Battery|Camera and Music Control|IP68,"""https://images-eu.ssl-images-amazon.com/images/I/71MXBWGALUL._AC_UL900_SR900600_.jpg",3.3 out of 5 stars,612,"Rs 3,995.00"
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",6,Matrix Men's Day and Date Display Analog Wrist Watch,"""https://images-eu.ssl-images-amazon.com/images/I/71GtycnHMtL._AC_UL900_SR900600_.jpg",3.6 out of 5 stars,"2,295",Rs 299.00
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",7,"Fastrack Reflex Activity Tracker - Full Touch, Color Display, Notification Alert - Upto 7 Days Battery Life","""https://images-eu.ssl-images-amazon.com/images/I/71-i9q1lVPL._AC_UL900_SR900600_.jpg",3.8 out of 5 stars,"11,531","Rs 1,795.00"
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",8,LOUIS DEVIN LD-L144-BLU-CH Mesh Steel Chain Analog Wrist Watch for Women,"""https://images-eu.ssl-images-amazon.com/images/I/81jnv+iz+ZL._AC_UL900_SR900600_.jpg",4.0 out of 5 stars,"4,933",Rs 299.00
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",9,"Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, GPS, NFC, Wellness Features and Smartphone Notifications","""https://images-eu.ssl-images-amazon.com/images/I/81gU0NVV5WL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"11,637","Rs 11,995.00"
31,Watches,"""https://www.amazon.in/gp/bestsellers/watches""",5,Women,"""https://www.amazon.in/gp/bestsellers/watches/2563505031""",10,"Fossil Gen 5 Touchscreen Men's Smartwatch with Speaker, Heart Rate, GPS, Music Storage and Smartphone Notifications","""https://images-eu.ssl-images-amazon.com/images/I/71qNX0wixBL._AC_UL900_SR900600_.jpg",3.9 out of 5 stars,"14,459","Rs 9,198.00"
